Customer_ID,Name,Gender,Age,City,Income,Join_Date
C032,Bayu,Female,49.0,Jakrta,4610479.0,24/03/2024
C033,Indra,Male,,JKT,14838000.0,2023-07-19
C034,Bayu,Male,34.0,Bali,9490256.0,24/10/2022
C035,Mega,Male,28.0,Jakarta,8762908.0,17/08/2024
C036,Andi,Female,,Sby,,2024-09-07
C037,Sari,Female,28.0,Jakarta,11454380.0,01/09/2022
C038,Sari,Male,57.0,JKT,14145516.0,2023-03-25
C039,Tono,Male,22.0,medn,12875193.0,08/06/2023
C040,Andi,Male,39.0,JKT,6903892.0,05/10/2023
C041,Eka,Female,46.0,medn,4621207.0,2021-10-23
C042,Rizki,Male,21.0,JKT,10223004.0,2024-11-06
C043,Fajar,Female,20.0,Sby,6519223.0,2024-08-21
C044,Sari,Male,41.0,Jakarta,9900294.0,07/09/2023
C045,Rizki,Female,30.0,Bali,5250639.0,2024-08-30
C046,Indra,Male,50.0,Surabaya,9972151.0,13/02/2024
C047,Farah,Female,22.0,Jakrta,,2022-06-17
C048,Dewi,Female,46.0,Surabaya,3092891.0,2024-12-25
C049,Indra,Female,44.0,Jakarta,60000000.0,2023-03-24
C050,Putri,Male,56.0,JKT,11920301.0,05/06/2023
C051,Tono,Female,20.0,Bali,10661680.0,2021-05-22
C052,Fajar,Female,25.0,medn,7287202.0,18/05/2024
C053,Wati,Male,27.0,Bali,8331498.0,19/12/2024
C054,Budi,Female,37.0,Jakrta,8091815.0,2022-09-06
C055,Putri,Male,18.0,Sby,11527020.0,22/10/2021
C056,Indra,Male,36.0,Jakarta,7064828.0,25/08/2022
C057,Rizki,Female,33.0,Bali,6010018.0,2022-05-07
C058,Eka,Female,52.0,Bali,3543336.0,2023-02-14
C059,Agus,Male,57.0,Sby,3931396.0,2024-05-15
C060,Yusuf,Male,20.0,JKT,7598477.0,20/06/2023
C061,Budi,Male,40.0,Bali,12471034.0,2021-02-25
C062,Budi,Male,59.0,Sby,4137069.0,2021-03-18
C063,Wati,Male,57.0,Sby,6902903.0,2021-04-19
C064,Agus,Female,38.0,medn,13464617.0,22/02/2023
C065,Tono,Female,43.0,Bali,10369458.0,03/02/2021
C066,Dewi,Female,46.0,Sby,6787855.0,2022-06-01
C067,Rizki,Female,47.0,Jakrta,9431783.0,30/11/2024
C068,Budi,Female,19.0,Jakrta,8737388.0,2022-10-31
C069,Sari,Female,53.0,Jakrta,5798109.0,2024-01-16
C070,Wati,Male,45.0,Jakrta,5083036.0,2023-07-25
C071,Putri,Female,45.0,Surabaya,13911476.0,27/05/2022
C072,Nina,Male,39.0,Jakarta,7246214.0,16/02/2022
C073,Rudi,Male,33.0,JKT,6200809.0,2023-09-06
C074,Nina,Male,500.0,Sby,8230087.0,13/05/2023
C075,Wati,Male,32.0,Bali,11522543.0,25/02/2024
C076,Eka,Female,20.0,Surabaya,10897680.0,14/03/2021
C077,Tono,Male,56.0,Bandng,14600070.0,21/03/2022
C078,Nina,Male,38.0,JKT,10684299.0,11/03/2023
C079,Rudi,Female,40.0,Bali,14042733.0,2023-07-05
C080,Wati,Female,35.0,Jakrta,10608242.0,25/08/2024
C081,Yusuf,Male,59.0,Bandng,4087486.0,03/07/2022
C082,Putri,Female,28.0,Sby,3294739.0,2021-12-05
C083,Lina,Female,37.0,Sby,12885824.0,01/03/2023
C084,Sari,Male,49.0,Sby,60000000.0,22/06/2022
C085,Nina,Male,28.0,Surabaya,12456639.0,19/07/2023
C086,Rizki,Female,45.0,Surabaya,14852375.0,2023-09-30
C087,Rina,Female,48.0,JKT,6310960.0,2022-10-14
C088,Rudi,Female,43.0,medn,11904253.0,2024-10-18
C089,Farah,Male,58.0,Surabaya,13739040.0,08/02/2021
C090,Tono,Male,45.0,Jakarta,9719322.0,2022-10-13
C091,Lina,Male,29.0,JKT,5076583.0,04/05/2022
C092,Wati,Female,47.0,Surabaya,9113401.0,03/08/2024
C093,Eka,Male,59.0,Jakrta,,2022-11-18
C094,Fajar,Female,46.0,Sby,6804584.0,25/06/2023
C095,Indra,Female,45.0,Jakarta,3533438.0,29/04/2021
C096,Tono,Male,19.0,Jakarta,9599631.0,08/04/2022
C097,Wati,Female,25.0,JKT,11696336.0,08/12/2022
C098,Dewi,Female,46.0,Surabaya,7807896.0,04/11/2021
C099,Fajar,Female,58.0,Sby,13972739.0,29/10/2023
C100,Andi,Male,36.0,medn,5081281.0,2022-08-19
C101,Bayu,Male,56.0,Jakarta,6097942.0,2024-09-23
C102,Farah,Male,19.0,Jakarta,11488219.0,2021-09-18
C103,Dewi,Male,59.0,JKT,12629238.0,2021-03-01
C104,Rina,Female,500.0,Jakrta,6698998.0,2023-01-27
C105,Yusuf,Female,36.0,Jakarta,7786304.0,2022-08-08
C106,Rudi,Female,45.0,Bandng,,25/09/2023
C107,Yusuf,Female,24.0,JKT,8972725.0,04/06/2022
C108,Putri,Female,48.0,medn,4288363.0,30/11/2024
C109,Rina,Male,35.0,Jakrta,9498739.0,22/05/2022
C110,Bayu,Male,18.0,JKT,5156394.0,03/10/2023
C111,Rina,Female,49.0,Bandng,9471686.0,10/04/2024
C112,Rizki,Female,35.0,Surabaya,,2024-06-14
C113,Dewi,Male,51.0,Bali,8632469.0,07/10/2023
C114,Bayu,Male,25.0,Jakarta,10640749.0,2023-01-12
C115,Indra,Male,52.0,medn,11835728.0,2022-03-05
C116,Rizki,Male,35.0,medn,7475576.0,2023-06-28
C117,Dewi,Male,54.0,Jakrta,9096462.0,2024-05-06
C118,Yusuf,Female,20.0,JKT,3360977.0,2023-07-24
C119,Budi,Female,27.0,Sby,12537298.0,13/10/2023
C120,Sari,Male,25.0,Surabaya,3180099.0,17/02/2021
C121,Rizki,Female,37.0,Sby,8351868.0,11/06/2022
C122,Wati,Female,54.0,Sby,5858744.0,2023-12-18
C123,Bayu,Female,56.0,Surabaya,11055776.0,03/03/2023
C124,Wati,Female,54.0,Surabaya,9445379.0,07/10/2024
C125,Yusuf,Male,46.0,Jakrta,14792796.0,23/09/2023
C126,Yusuf,Female,33.0,Surabaya,3908367.0,2024-01-06
C127,Mega,Male,35.0,Surabaya,14473131.0,09/01/2024
C128,Lina,Male,29.0,Bandng,6466035.0,2021-11-26
C129,Eka,Male,48.0,Sby,4047264.0,2022-02-21
C130,Nina,Male,53.0,Jakrta,8774945.0,2024-06-25
C131,Lina,Female,55.0,Jakrta,7535382.0,22/09/2021
C132,Bayu,Male,28.0,Sby,4917082.0,17/12/2023
C133,Agus,Male,33.0,Jakrta,7005854.0,14/08/2021
C134,Rizki,Male,25.0,Sby,5235936.0,2021-03-16
C135,Tono,Male,45.0,JKT,10137719.0,12/08/2021
C136,Dewi,Male,18.0,Bali,10482215.0,2022-06-03
C137,Fajar,Male,42.0,Jakarta,7116206.0,2024-09-18
C138,Farah,Male,500.0,Jakrta,7266895.0,27/05/2021
C139,Bayu,Male,57.0,Bali,4228781.0,2024-12-03
C140,Lina,Female,500.0,Jakrta,11033803.0,08/09/2024
C141,Fajar,Male,39.0,Jakarta,14761876.0,21/03/2023
C142,Fajar,Male,57.0,Sby,4051644.0,07/12/2022
C143,Wati,Male,50.0,Jakarta,9313411.0,2022-12-19
C144,Rizki,Male,26.0,Bali,10348373.0,24/07/2023
C145,Mega,Male,25.0,Jakarta,9192264.0,2021-04-30
C146,Dewi,Female,33.0,Jakrta,5643739.0,2021-02-05
C147,Budi,Male,51.0,medn,7297354.0,2023-12-26
C148,Budi,Female,36.0,Jakarta,6848887.0,11/09/2022
C149,Rina,Male,34.0,medn,6121802.0,18/06/2022
C150,Lina,Female,31.0,Jakarta,6362482.0,2024-11-30
C151,Bayu,Male,29.0,Bandng,3368727.0,2023-04-13
C152,Indra,Female,24.0,Sby,60000000.0,2023-11-29
C153,Sari,Female,56.0,Bandng,5121711.0,17/02/2024
C154,Rizki,Male,,Bali,14151891.0,06/03/2023
C155,Putri,Male,30.0,Jakrta,6630365.0,29/12/2021
C156,Agus,Male,54.0,medn,3899817.0,17/06/2024
C157,Bayu,Female,39.0,Bali,4016759.0,2021-01-28
C158,Wati,Female,29.0,Surabaya,6308441.0,02/02/2021
C159,Bayu,Female,55.0,JKT,13251676.0,2024-02-10
C160,Lina,Female,35.0,Jakrta,13733506.0,2024-08-07
C161,Agus,Male,22.0,Bandng,3809799.0,13/05/2024
C162,Rudi,Female,54.0,JKT,7683929.0,2023-01-12
C163,Agus,Female,28.0,Sby,7979347.0,2022-11-01
C164,Indra,Female,24.0,Surabaya,60000000.0,10/09/2023
C165,Eka,Female,22.0,Surabaya,3304003.0,17/12/2024
C166,Agus,Female,33.0,Sby,6504216.0,2023-08-13
C167,Wati,Male,34.0,Bandng,9595933.0,2021-03-23
C168,Agus,Female,54.0,Sby,4492675.0,21/07/2024
C169,Tono,Female,35.0,Jakarta,7159015.0,10/02/2023
C170,Rizki,Female,34.0,Bali,3314163.0,2023-01-14
C171,Rudi,Male,27.0,Jakarta,10180071.0,20/11/2023
C172,Rudi,Female,50.0,Sby,4749483.0,2022-07-04
C173,Fajar,Female,58.0,JKT,3237214.0,16/06/2021
C174,Wati,Male,28.0,medn,6927176.0,17/02/2024
C175,Mega,Female,29.0,Sby,11865088.0,16/03/2024
C176,Tono,Female,18.0,JKT,10229994.0,28/10/2021
C177,Dewi,Male,28.0,medn,60000000.0,2022-03-02
C178,Andi,Female,32.0,Surabaya,12360865.0,28/08/2023
C179,Tono,Male,,Bali,14936596.0,2023-06-18
C180,Fajar,Male,42.0,Jakrta,14479233.0,20/02/2022
C181,Lina,Male,29.0,JKT,3846151.0,2024-06-28
C182,Farah,Male,45.0,Surabaya,9180414.0,08/08/2021
C183,Budi,Male,25.0,Jakrta,4502609.0,19/02/2022
C184,Nina,Male,38.0,medn,8532321.0,2023-06-02
C185,Farah,Male,52.0,Bandng,9752824.0,01/02/2021
C186,Lina,Male,58.0,Jakarta,13266220.0,2021-09-17
C187,Agus,Male,35.0,Surabaya,60000000.0,2024-11-10
C188,Wati,Female,20.0,Sby,12483237.0,01/09/2024
C189,Wati,Female,59.0,Jakrta,10426028.0,26/05/2021
C190,Fajar,Male,36.0,JKT,5058615.0,2024-02-12
C191,Rina,Male,54.0,Bali,,07/12/2024
C192,Yusuf,Female,49.0,Sby,8544094.0,2023-12-07
C193,Yusuf,Female,55.0,Jakrta,7459145.0,2022-12-12
C194,Mega,Female,49.0,Jakrta,12077210.0,27/01/2024
C195,Farah,Female,32.0,Surabaya,5952302.0,2023-08-10
C196,Lina,Female,58.0,Surabaya,7659861.0,2022-11-10
C197,Farah,Male,53.0,medn,8549977.0,2021-11-01
C198,Bayu,Male,39.0,Bali,9941302.0,2023-09-05
C199,Farah,Male,51.0,Bali,10923298.0,2022-02-09
C200,Wati,Male,26.0,Bandng,10722088.0,06/07/2024
C096,Tono,Male,19.0,Jakarta,9599631.0,08/04/2022
C016,Mega,Male,58.0,Sby,3950910.0,2021-06-18
C031,Eka,Female,38.0,Jakarta,12029554.0,2022-03-23
C159,Bayu,Female,55.0,JKT,13251676.0,2024-02-10
C129,Eka,Male,48.0,Sby,4047264.0,2022-02-21
C116,Rizki,Male,35.0,medn,7475576.0,2023-06-28
C070,Wati,Male,45.0,Jakrta,5083036.0,2023-07-25
C171,Rudi,Male,27.0,Jakarta,10180071.0,20/11/2023
C175,Mega,Female,29.0,Sby,11865088.0,16/03/2024
C046,Indra,Male,50.0,Surabaya,9972151.0,13/02/2024
